Clinic_Postcode,Site Name
1835,Parramatta
1848,Parramatta
1851,Blacktown
1860,Parramatta
1871,Parramatta
1875,Parramatta
1885,Hurstville
1888,Burwood
1890,Burwood
1891,Hurstville
1900,Parramatta
1902,Parramatta
2000,Bondi Junction
2001,Bondi Junction
2002,Bondi Junction
2004,Bondi Junction
2006,Bondi Junction
2007,Bondi Junction
2008,Bondi Junction
2009,Bondi Junction
2010,Bondi Junction
2011,Bondi Junction
2012,Bondi Junction
2013,Bondi Junction
2015,Bondi Junction
2016,Bondi Junction
2017,Bondi Junction
2018,Bondi Junction
2019,Bondi Junction
2020,Bondi Junction
2021,Bondi Junction
2022,Bondi Junction
2023,Bondi Junction
2024,Bondi Junction
2025,Bondi Junction
2026,Bondi Junction
2027,Bondi Junction
2028,Bondi Junction
2029,Bondi Junction
2030,Bondi Junction
2031,Bondi Junction
2032,Bondi Junction
2033,Bondi Junction
2034,Bondi Junction
2035,Bondi Junction
2036,Bondi Junction
2037,Bondi Junction
2038,Burwood
2039,Burwood
2040,Burwood
2041,Burwood
2042,Bondi Junction
2043,Bondi Junction
2044,Bondi Junction
2045,Burwood
2046,Burwood
2047,Burwood
2048,Burwood
2049,Burwood
2050,Bondi Junction
2052,Bondi Junction
2055,Bondi Junction
2057,Belrose
2058,Belrose
2059,Bondi Junction
2060,Bondi Junction
2061,Bondi Junction
2062,Bondi Junction
2063,Belrose
2064,Belrose
2065,Bondi Junction
2066,Burwood
2067,Belrose
2068,Belrose
2069,Belrose
2070,Belrose
2071,Belrose
2072,Belrose
2073,Belrose
2074,Belrose
2075,Belrose
2076,Belrose
2077,Belrose
2079,Belrose
2080,Belrose
2081,Woy Woy
2082,Woy Woy
2083,Woy Woy
2084,Belrose
2085,Belrose
2086,Belrose
2087,Belrose
2088,Bondi Junction
2089,Bondi Junction
2090,Bondi Junction
2091,Bondi Junction
2092,Belrose
2093,Belrose
2094,Belrose
2095,Belrose
2096,Belrose
2097,Belrose
2099,Belrose
2100,Belrose
2101,Belrose
2102,Belrose
2103,Belrose
2104,Belrose
2105,Belrose
2106,Belrose
2107,Belrose
2108,Belrose
2109,Belrose
2110,Burwood
2111,Burwood
2112,Burwood
2113,Belrose
2114,Parramatta
2115,Parramatta
2116,Parramatta
2117,Parramatta
2118,Parramatta
2119,Parramatta
2120,Belrose
2121,Parramatta
2122,Parramatta
2123,Parramatta
2124,Parramatta
2125,Parramatta
2126,Parramatta
2127,Burwood
2128,Parramatta
2129,Parramatta
2130,Burwood
2131,Burwood
2132,Burwood
2133,Burwood
2134,Burwood
2135,Burwood
2136,Burwood
2137,Burwood
2138,Burwood
2139,Burwood
2140,Burwood
2141,Burwood
2142,Parramatta
2143,Burwood
2144,Parramatta
2145,Parramatta
2146,Parramatta
2147,Blacktown
2148,Blacktown
2150,Parramatta
2151,Parramatta
2152,Parramatta
2153,Blacktown
2154,Blacktown
2155,Blacktown
2156,Blacktown
2157,Woy Woy
2158,Belrose
2159,Belrose
2160,Parramatta
2161,Parramatta
2162,Parramatta
2163,Parramatta
2164,Blacktown
2165,Parramatta
2166,Parramatta
2167,Burwood
2168,Blacktown
2170,Parramatta
2171,Blacktown
2172,Hurstville
2173,Hurstville
2174,Blacktown
2175,Blacktown
2176,Blacktown
2177,Blacktown
2178,Blacktown
2179,Blacktown
2190,Burwood
2191,Burwood
2192,Burwood
2193,Burwood
2194,Burwood
2195,Hurstville
2196,Hurstville
2197,Parramatta
2198,Parramatta
2199,Burwood
2200,Hurstville
2203,Burwood
2204,Burwood
2205,Hurstville
2206,Hurstville
2207,Hurstville
2208,Hurstville
2209,Hurstville
2210,Hurstville
2211,Hurstville
2212,Hurstville
2213,Hurstville
2214,Hurstville
2216,Hurstville
2217,Hurstville
2218,Hurstville
2219,Hurstville
2220,Hurstville
2221,Hurstville
2222,Hurstville
2223,Hurstville
2224,Hurstville
2225,Hurstville
2226,Hurstville
2227,Hurstville
2228,Hurstville
2229,Hurstville
2230,Hurstville
2231,Hurstville
2232,Hurstville
2233,Hurstville
2234,Hurstville
2250,Gosford
2251,Woy Woy
2252,Woy Woy
2256,Woy Woy
2257,Woy Woy
2258,Gosford
2259,The Entrance
2260,The Entrance
2261,The Entrance
2262,The Entrance
2263,The Entrance
2264,The Entrance
2265,Gosford
2267,Newcastle
2278,Newcastle
2280,Newcastle
2281,Newcastle
2282,Newcastle
2283,Newcastle
2284,Newcastle
2285,Newcastle
2286,Newcastle
2287,Newcastle
2289,Newcastle
2290,Newcastle
2291,Newcastle
2292,Newcastle
2293,Newcastle
2294,Newcastle
2295,Newcastle
2296,Newcastle
2297,Newcastle
2298,Newcastle
2299,Newcastle
2300,Newcastle
2302,Newcastle
2303,Newcastle
2304,Newcastle
2305,Newcastle
2306,Newcastle
2307,Newcastle
2308,The Entrance
2309,The Entrance
2310,Newcastle
2311,Newcastle
2312,Newcastle
2314,The Entrance
2315,Newcastle
2316,Newcastle
2317,Newcastle
2318,Newcastle
2319,Newcastle
2320,Newcastle
2321,Newcastle
2322,Newcastle
2323,Newcastle
2324,Newcastle
2325,Gosford
2326,Newcastle
2327,Newcastle
2328,Newcastle
2329,Dubbo
2330,Gosford
2331,Newcastle
2333,Newcastle
2334,Newcastle
2335,Newcastle
2336,Newcastle
2337,Newcastle
2338,Newcastle
2339,Newcastle
2340,Newcastle
2341,Newcastle
2342,Dubbo
2343,Dubbo
2344,Newcastle
2345,Coffs Harbour
2346,Coffs Harbour
2347,Coffs Harbour
2348,Coffs Harbour
2350,Coffs Harbour
2351,Coffs Harbour
2352,Coffs Harbour
2353,Coffs Harbour
2354,Coffs Harbour
2355,Coffs Harbour
2356,Dubbo
2357,Dubbo
2358,Coffs Harbour
2359,Coffs Harbour
2360,Coffs Harbour
2361,Toowoomba
2365,Coffs Harbour
2369,Coffs Harbour
2370,Coffs Harbour
2371,Coffs Harbour
2372,Coffs Harbour
2379,Dubbo
2380,Dubbo
2381,Dubbo
2382,Dubbo
2388,Dubbo
2395,Dubbo
2396,Dubbo
2402,Grafton
2403,Coffs Harbour
2404,Grafton
2408,Toowoomba
2409,Toowoomba
2410,Toowoomba
2411,Toowoomba
2415,Newcastle
2420,Newcastle
2421,Newcastle
2422,Newcastle
2423,Newcastle
2424,Newcastle
2425,Newcastle
2426,Newcastle
2427,Newcastle
2428,Newcastle
2429,Newcastle
2430,Newcastle
2431,Coffs Harbour
2439,Coffs Harbour
2440,Coffs Harbour
2441,Coffs Harbour
2442,Coffs Harbour
2443,Newcastle
2444,Coffs Harbour
2445,Coffs Harbour
2446,Coffs Harbour
2447,Coffs Harbour
2448,Coffs Harbour
2449,Coffs Harbour
2450,Coffs Harbour
2452,Coffs Harbour
2453,Coffs Harbour
2454,Coffs Harbour
2455,Coffs Harbour
2456,Coffs Harbour
2460,Coffs Harbour
2462,Coffs Harbour
2463,Coffs Harbour
2464,Coffs Harbour
2465,Coffs Harbour
2466,Coffs Harbour
2469,Banora Point
2470,Banora Point
2471,Banora Point
2472,Banora Point
2473,Banora Point
2474,Banora Point
2475,Ipswich
2476,Ipswich
2477,Banora Point
2478,Banora Point
2479,Banora Point
2480,Banora Point
2481,Banora Point
2482,Banora Point
2483,Banora Point
2484,Banora Point
2485,Banora Point
2486,Banora Point
2487,Banora Point
2488,Banora Point
2489,Banora Point
2490,Banora Point
2500,Wollongong
2502,Wollongong
2505,Wollongong
2506,Wollongong
2508,Wollongong
2515,Wollongong
2516,Wollongong
2517,Wollongong
2518,Wollongong
2519,Wollongong
2520,Wollongong
2522,Wollongong
2525,Wollongong
2526,Wollongong
2527,Wollongong
2528,Wollongong
2529,Wollongong
2530,Wollongong
2533,Wollongong
2534,Wollongong
2535,Bowral
2536,Bowral
2537,Bowral
2538,Bowral
2539,Bowral
2540,Bowral
2541,Bowral
2545,Bowral
2546,Bowral
2550,Albury
2555,Blacktown
2556,Blacktown
2557,Blacktown
2558,Burwood
2559,Burwood
2560,Wollongong
2563,Hurstville
2564,Burwood
2565,Burwood
2566,Burwood
2567,Blacktown
2568,Wollongong
2569,Wollongong
2570,Blacktown
2571,Bowral
2572,Bowral
2573,Bowral
2574,Bowral
2575,Bowral
2576,Bowral
2577,Bowral
2578,Bowral
2579,Bowral
2580,Bowral
2581,Bowral
2582,Bowral
2583,Bowral
2584,Bowral
2585,Bowral
2586,Bowral
2587,Albury
2588,Albury
2590,Albury
2594,Albury
2600,Bowral
2601,Bowral
2602,Bowral
2603,Bowral
2604,Bowral
2605,Bowral
2606,Bowral
2607,Bowral
2608,Bowral
2609,Bowral
2610,Bowral
2611,Albury
2612,Bowral
2614,Bowral
2615,Bowral
2616,Bowral
2617,Bowral
2618,Bowral
2619,Bowral
2620,Bowral
2621,Bowral
2622,Bowral
2623,Bowral
2624,Albury
2625,Albury
2626,Albury
2627,Albury
2628,Albury
2629,Albury
2630,Albury
2631,Albury
2632,Albury
2633,Albury
2640,Albury
2641,Albury
2642,Albury
2643,Albury
2644,Albury
2645,Albury
2646,Albury
2647,Albury
2649,Albury
2650,Albury
2651,Albury
2652,Albury
2653,Albury
2655,Albury
2656,Albury
2658,Albury
2659,Albury
2660,Albury
2661,Albury
2663,Albury
2665,Albury
2666,Albury
2668,Albury
2669,Parkes
2671,Dubbo
2672,Parkes
2678,Albury
2680,Albury
2681,Albury
2700,Albury
2701,Albury
2702,Albury
2703,Albury
2705,Albury
2706,Albury
2707,Albury
2708,Albury
2710,Albury
2711,Cobram
2712,Albury
2713,Albury
2714,Albury
2716,Albury
2720,Albury
2721,Dubbo
2722,Albury
2725,Albury
2726,Albury
2727,Albury
2729,Albury
2730,Albury
2731,Shepparton
2732,Cobram
2733,Cobram
2734,Cobram
2735,Cobram
2736,Cobram
2745,Blacktown
2747,Blacktown
2748,Blacktown
2749,Blacktown
2750,Blacktown
2751,Blacktown
2752,Blacktown
2753,Blacktown
2754,Blacktown
2755,Blacktown
2756,Gosford
2757,Blacktown
2758,Blacktown
2759,Blacktown
2760,Blacktown
2761,Blacktown
2762,Blacktown
2763,Blacktown
2765,Blacktown
2766,Blacktown
2767,Blacktown
2768,Blacktown
2769,Blacktown
2770,Blacktown
2773,Blacktown
2774,Blacktown
2775,Gosford
2776,Blacktown
2777,Blacktown
2778,Blacktown
2779,Blacktown
2780,Blacktown
2782,Blacktown
2783,Blacktown
2784,Blacktown
2785,Blacktown
2786,Blacktown
2787,Bowral
2790,Blacktown
2791,Dubbo
2792,Dubbo
2793,Bowral
2794,Bowral
2795,Bowral
2797,Bowral
2798,Dubbo
2799,Bowral
2800,Dubbo
2803,Bowral
2804,Dubbo
2805,Dubbo
2806,Dubbo
2807,Bowral
2808,Bowral
2809,Bowral
2810,Dubbo
2818,Dubbo
2820,Dubbo
2821,Dubbo
2823,Dubbo
2824,Dubbo
2825,Dubbo
2826,Dubbo
2827,Dubbo
2828,Dubbo
2829,Dubbo
2830,Dubbo
2831,Dubbo
2842,Dubbo
2843,Dubbo
2844,Dubbo
2845,Blacktown
2846,Newcastle
2847,Bowral
2848,Dubbo
2849,Newcastle
2850,Dubbo
2852,Dubbo
2864,Dubbo
2865,Dubbo
2866,Dubbo
2867,Dubbo
2868,Dubbo
2869,Dubbo
2870,Dubbo
2871,Dubbo
2873,Dubbo
2874,Dubbo
2875,Dubbo
2876,Dubbo
2877,Dubbo
2890,Burwood
2891,Burwood
2900,Bowral
2901,Bowral
2902,Bowral
2903,Bowral
2904,Bowral
2905,Bowral
2906,Bowral
2911,Bowral
2912,Bowral
2913,Bowral
2914,Bowral
3000,Coburg
3001,Coburg
3002,Coburg
3003,Coburg
3004,Coburg
3005,Coburg
3006,Coburg
3008,Coburg
3010,Coburg
3011,Coburg
3012,Coburg
3013,Coburg
3015,Coburg
3016,Coburg
3018,Coburg
3019,Coburg
3020,Keilor
3021,Keilor
3022,Keilor
3023,Keilor
3024,Keilor
3025,Keilor
3026,Keilor
3027,Keilor
3028,Keilor
3029,Keilor
3030,Keilor
3031,Coburg
3032,Coburg
3033,Keilor
3034,Keilor
3036,Keilor
3037,Keilor
3038,Keilor
3039,Coburg
3040,Coburg
3041,Coburg
3042,Keilor
3043,Keilor
3044,Coburg
3045,Keilor
3046,Coburg
3047,Coburg
3048,Coburg
3049,Keilor
3050,Coburg
3051,Coburg
3052,Coburg
3053,Coburg
3054,Coburg
3055,Coburg
3056,Coburg
3057,Coburg
3058,Coburg
3059,Keilor
3060,Coburg
3061,Coburg
3062,Coburg
3063,Keilor
3064,Coburg
3065,Coburg
3066,Coburg
3067,Coburg
3068,Coburg
3070,Coburg
3071,Coburg
3072,Coburg
3073,Coburg
3074,Coburg
3075,Coburg
3076,Coburg
3078,Coburg
3079,Coburg
3081,Coburg
3082,Coburg
3083,Coburg
3084,Box Hill
3085,Coburg
3086,Coburg
3087,Coburg
3088,Coburg
3089,Box Hill
3090,Coburg
3091,Coburg
3093,Box Hill
3094,Box Hill
3095,Box Hill
3096,Box Hill
3097,Box Hill
3099,Box Hill
3101,Box Hill
3102,Box Hill
3103,Box Hill
3104,Box Hill
3105,Box Hill
3106,Box Hill
3107,Box Hill
3108,Box Hill
3109,Box Hill
3110,Box Hill
3111,Box Hill
3113,Box Hill
3114,Box Hill
3115,Box Hill
3116,Box Hill
3121,Coburg
3122,Box Hill
3123,Box Hill
3124,Box Hill
3125,Box Hill
3126,Box Hill
3127,Box Hill
3128,Box Hill
3129,Box Hill
3130,Box Hill
3131,Box Hill
3132,Box Hill
3133,Glen Waverley
3134,Box Hill
3135,Glen Waverley
3136,Box Hill
3137,Glen Waverley
3138,Box Hill
3139,Berwick
3140,Box Hill
3141,Box Hill
3142,Box Hill
3143,Oakleigh
3144,Oakleigh
3145,Oakleigh
3146,Oakleigh
3147,Oakleigh
3148,Oakleigh
3149,Glen Waverley
3150,Glen Waverley
3151,Box Hill
3152,Glen Waverley
3153,Glen Waverley
3154,Glen Waverley
3155,Glen Waverley
3156,Glen Waverley
3158,Berwick
3159,Glen Waverley
3160,Berwick
3161,Oakleigh
3162,Oakleigh
3163,Oakleigh
3164,Glen Waverley
3165,Oakleigh
3166,Oakleigh
3167,Oakleigh
3168,Glen Waverley
3169,Mentone
3170,Glen Waverley
3171,Glen Waverley
3172,Mentone
3173,Mentone
3174,Glen Waverley
3175,Mentone
3176,Glen Waverley
3177,Berwick
3178,Glen Waverley
3179,Glen Waverley
3180,Glen Waverley
3181,Oakleigh
3182,Oakleigh
3183,Oakleigh
3184,Oakleigh
3185,Oakleigh
3186,Oakleigh
3187,Oakleigh
3188,Mentone
3189,Mentone
3190,Mentone
3191,Mentone
3192,Mentone
3193,Mentone
3194,Mentone
3195,Mentone
3196,Mentone
3197,Mentone
3198,Mornington
3199,Mornington
3200,Mornington
3201,Mentone
3202,Mentone
3204,Oakleigh
3205,Coburg
3206,Coburg
3207,Coburg
3211,Belmont
3212,Belmont
3213,Belmont
3214,Belmont
3215,Belmont
3216,Belmont
3217,Belmont
3218,Belmont
3219,Belmont
3220,Belmont
3221,Belmont
3222,Belmont
3223,Belmont
3224,Belmont
3225,Belmont
3226,Belmont
3227,Belmont
3228,Belmont
3230,Belmont
3231,Belmont
3232,Belmont
3233,Belmont
3234,Belmont
3235,Belmont
3236,Belmont
3237,Cowes
3238,Cowes
3239,Cowes
3240,Belmont
3241,Belmont
3242,Belmont
3243,Belmont
3249,Belmont
3250,Belmont
3251,Belmont
3254,Belmont
3260,Mount Gambier
3264,Mount Gambier
3265,Mount Gambier
3266,Mount Gambier
3267,Mount Gambier
3268,Mount Gambier
3269,Mount Gambier
3270,Mount Gambier
3271,Mount Gambier
3272,Mount Gambier
3273,Mount Gambier
3274,Mount Gambier
3275,Mount Gambier
3276,Mount Gambier
3277,Mount Gambier
3278,Mount Gambier
3279,Mount Gambier
3280,Mount Gambier
3281,Mount Gambier
3282,Mount Gambier
3283,Mount Gambier
3284,Mount Gambier
3285,Mount Gambier
3286,Mount Gambier
3287,Mount Gambier
3289,Mount Gambier
3292,Mount Gambier
3293,Mount Gambier
3294,Mount Gambier
3300,Mount Gambier
3301,Mount Gambier
3302,Mount Gambier
3303,Mount Gambier
3304,Mount Gambier
3305,Mount Gambier
3309,Mount Gambier
3310,Mount Gambier
3311,Mount Gambier
3312,Mount Gambier
3314,Mount Gambier
3315,Mount Gambier
3317,Mount Gambier
3318,Mount Gambier
3319,Mount Gambier
3321,Belmont
3322,Belmont
3323,Belmont
3324,Mount Gambier
3325,Mount Gambier
3328,Belmont
3329,Belmont
3330,Belmont
3331,Belmont
3332,Belmont
3333,Belmont
3334,Belmont
3335,Keilor
3337,Keilor
3338,Keilor
3340,Keilor
3341,Keilor
3342,Belmont
3345,Belmont
3350,Belmont
3351,Mount Gambier
3352,Belmont
3353,Belmont
3354,Belmont
3355,Belmont
3356,Belmont
3357,Belmont
3360,Belmont
3361,Mount Gambier
3363,Cowes
3364,Shepparton
3370,Shepparton
3371,Shepparton
3373,Mount Gambier
3374,Mount Gambier
3375,Mount Gambier
3377,Mount Gambier
3378,Mount Gambier
3379,Mount Gambier
3380,Mount Gambier
3381,Mount Gambier
3384,Mount Gambier
3385,Mount Gambier
3387,Mount Gambier
3388,Mount Gambier
3390,Mount Gambier
3391,Naracoorte
3392,Mount Gambier
3393,Mount Gambier
3395,Naracoorte
3396,Naracoorte
3400,Mount Gambier
3401,Mount Gambier
3402,Mount Gambier
3407,Mount Gambier
3409,Mount Gambier
3412,Mount Gambier
3413,Mount Gambier
3414,Mount Gambier
3415,Mount Gambier
3418,Mount Gambier
3419,Mount Gambier
3420,Mount Gambier
3423,Mount Gambier
3424,Naracoorte
3427,Keilor
3428,Keilor
3429,Keilor
3430,Keilor
3431,Keilor
3432,Keilor
3433,Keilor
3434,Keilor
3435,Keilor
3437,Keilor
3438,Keilor
3440,Keilor
3441,Keilor
3442,Keilor
3444,Keilor
3446,Keilor
3447,Keilor
3448,Keilor
3450,Keilor
3451,Keilor
3453,Shepparton
3458,Keilor
3460,Keilor
3461,Keilor
3462,Shepparton
3463,Shepparton
3464,Shepparton
3465,Shepparton
3467,Shepparton
3468,Shepparton
3469,Mount Gambier
3472,Shepparton
3475,Shepparton
3477,Shepparton
3478,Shepparton
3480,Naracoorte
3482,Naracoorte
3483,Naracoorte
3485,Naracoorte
3487,Naracoorte
3488,Naracoorte
3490,Naracoorte
3491,Naracoorte
3506,Naracoorte
3507,Naracoorte
3509,Naracoorte
3512,Murray Bridge
3515,Shepparton
3516,Shepparton
3517,Shepparton
3518,Shepparton
3520,Shepparton
3521,Keilor
3522,Keilor
3523,Shepparton
3525,Shepparton
3527,Shepparton
3529,Shepparton
3530,Shepparton
3531,Shepparton
3537,Shepparton
3540,Shepparton
3542,Shepparton
3544,Shepparton
3550,Shepparton
3551,Shepparton
3552,Shepparton
3554,Shepparton
3555,Shepparton
3556,Shepparton
3557,Shepparton
3558,Shepparton
3559,Shepparton
3561,Albury
3562,Shepparton
3563,Shepparton
3564,Albury
3565,Shepparton
3566,Shepparton
3567,Shepparton
3568,Shepparton
3570,Shepparton
3571,Shepparton
3572,Shepparton
3573,Shepparton
3575,Shepparton
3576,Shepparton
3579,Shepparton
3580,Shepparton
3581,Shepparton
3583,Shepparton
3584,Shepparton
3585,Shepparton
3586,Shepparton
3588,Shepparton
3589,Cobram
3590,Cobram
3591,Cobram
3594,Cobram
3595,Shepparton
3596,Cobram
3607,Albury
3608,Albury
3610,Albury
3612,Albury
3614,Albury
3616,Albury
3617,Albury
3618,Albury
3619,Albury
3620,Albury
3621,Albury
3622,Albury
3623,Albury
3624,Albury
3629,Albury
3630,Albury
3631,Albury
3632,Albury
3633,Albury
3634,Albury
3635,Albury
3636,Albury
3637,Albury
3638,Albury
3639,Albury
3640,Albury
3641,Albury
3643,Albury
3644,Albury
3646,Albury
3647,Albury
3649,Albury
3658,Keilor
3659,Coburg
3660,Coburg
3661,Keilor
3662,Keilor
3663,Albury
3664,Albury
3665,Albury
3666,Albury
3669,Albury
3670,Albury
3671,Albury
3672,Albury
3673,Albury
3675,Albury
3676,Albury
3677,Albury
3678,Albury
3682,Albury
3683,Albury
3685,Albury
3687,Albury
3688,Albury
3689,Albury
3690,Albury
3691,Albury
3694,Albury
3695,Albury
3697,Albury
3698,Albury
3699,Albury
3700,Albury
3701,Albury
3704,Albury
3705,Albury
3707,Albury
3708,Albury
3709,Albury
3711,Box Hill
3712,Box Hill
3713,Albury
3714,Box Hill
3715,Albury
3717,Box Hill
3718,Coburg
3719,Albury
3720,Albury
3722,Albury
3723,Albury
3724,Albury
3725,Albury
3726,Albury
3727,Albury
3728,Albury
3730,Albury
3732,Albury
3733,Albury
3735,Albury
3736,Albury
3737,Albury
3738,Albury
3739,Albury
3740,Albury
3741,Albury
3744,Albury
3746,Albury
3747,Albury
3749,Albury
3750,Coburg
3751,Coburg
3752,Coburg
3753,Keilor
3754,Coburg
3755,Coburg
3756,Keilor
3757,Box Hill
3758,Keilor
3759,Box Hill
3760,Box Hill
3761,Box Hill
3762,Keilor
3763,Box Hill
3764,Keilor
3765,Glen Waverley
3766,Glen Waverley
3767,Glen Waverley
3770,Box Hill
3775,Box Hill
3777,Box Hill
3778,Box Hill
3779,Berwick
3781,Berwick
3782,Berwick
3783,Berwick
3785,Glen Waverley
3786,Glen Waverley
3787,Glen Waverley
3788,Glen Waverley
3789,Berwick
3791,Glen Waverley
3792,Berwick
3793,Glen Waverley
3795,Glen Waverley
3796,Glen Waverley
